"","Kommunenummer","Kommunenavn","Formueskatt","Helsefagarbeidere","Sykepleiere","Land","Sted"
"324","5411","Kvæfjord",2329000,3,3,"Norge","Kvæfjord, Norge"
"325","5412","Dielddanuorri - Tjeldsund",5255000,7,6,"Norge","Dielddanuorri - Tjeldsund, Norge"
"326","5413","Ibestad",8052000,10,9,"Norge","Ibestad, Norge"
"327","5414","Gratangen",5390000,7,6,"Norge","Gratangen, Norge"
"328","5415","Loabák - Lavangen",1120000,1,1,"Norge","Loabák - Lavangen, Norge"
"329","5416","Bardu",3857000,5,4,"Norge","Bardu, Norge"
"330","5417","Salangen",3738000,5,4,"Norge","Salangen, Norge"
"331","5418","Målselv",10315000,13,12,"Norge","Målselv, Norge"
"332","5419","Sørreisa",6732000,9,8,"Norge","Sørreisa, Norge"
"333","5420","Dyrøy",1388000,2,2,"Norge","Dyrøy, Norge"
"334","5421","Senja",32016000,41,36,"Norge","Senja, Norge"
"335","5422","Balsfjord",6227000,8,7,"Norge","Balsfjord, Norge"
"336","5423","Karlsøy",4540000,6,5,"Norge","Karlsøy, Norge"
"337","5424","Lyngen",4849000,6,5,"Norge","Lyngen, Norge"
"338","5425","Storfjord - Omasvuotna - Omasvuono",2364000,3,3,"Norge","Storfjord - Omasvuotna - Omasvuono, Norge"
"339","5426","Gáivuotna - Kåfjord - Kaivuono",2243000,3,3,"Norge","Gáivuotna - Kåfjord - Kaivuono, Norge"
"340","5427","Skjervøy",4590000,6,5,"Norge","Skjervøy, Norge"
"341","5428","Nordreisa - Ráisa - Raisi",7768000,10,9,"Norge","Nordreisa - Ráisa - Raisi, Norge"
"342","5429","Kvænangen",1187000,2,1,"Norge","Kvænangen, Norge"
"343","5430","Guovdageaidnu - Kautokeino",2590000,3,3,"Norge","Guovdageaidnu - Kautokeino, Norge"
"344","5432","Loppa",1063000,1,1,"Norge","Loppa, Norge"
"345","5433","Hasvik",451000,1,1,"Norge","Hasvik, Norge"
"346","5434","Måsøy",2241000,3,3,"Norge","Måsøy, Norge"
"347","5435","Nordkapp",5704000,7,6,"Norge","Nordkapp, Norge"
"348","5436","Porsanger - Porsángu - Porsanki",4023000,5,5,"Norge","Porsanger - Porsángu - Porsanki, Norge"
"349","5437","Kárásjohka - Karasjok",2438000,3,3,"Norge","Kárásjohka - Karasjok, Norge"
"350","5438","Lebesby",2572000,3,3,"Norge","Lebesby, Norge"
"351","5439","Gamvik",1174000,2,1,"Norge","Gamvik, Norge"
"352","5440","Berlevåg",1230000,2,1,"Norge","Berlevåg, Norge"
"353","5441","Deatnu - Tana",3999000,5,5,"Norge","Deatnu - Tana, Norge"
"354","5442","Unjárga - Nesseby",1477000,2,2,"Norge","Unjárga - Nesseby, Norge"
"355","5443","Båtsfjord",3375000,4,4,"Norge","Båtsfjord, Norge"
"356","5444","Sør-Varanger",10014000,13,11,"Norge","Sør-Varanger, Norge"
